year,trans_type,ttwa_cd,theta
2011,Rent,E30000170,1.439
2011,Rent,E30000171,1.809
2011,Rent,E30000173,0.927
2011,Rent,E30000174,1.326
2011,Rent,E30000175,1.297
2011,Rent,E30000179,0.954
2011,Rent,E30000180,0.897
2011,Rent,E30000182,2.179
2011,Rent,E30000183,1.088
2011,Rent,E30000184,1.16
2011,Rent,E30000186,1.215
2011,Rent,E30000187,1.167
2011,Rent,E30000188,1.469
2011,Rent,E30000189,0.756
2011,Rent,E30000190,1.428
2011,Rent,E30000191,1.079
2011,Rent,E30000192,1.611
2011,Rent,E30000193,1.614
2011,Rent,E30000195,1.244
2011,Rent,E30000196,0.807
2011,Rent,E30000197,0.985
2011,Rent,E30000198,1.875
2011,Rent,E30000199,1.7
2011,Rent,E30000200,1.168
2011,Rent,E30000201,1.332
2011,Rent,E30000202,1.641
2011,Rent,E30000203,1.398
2011,Rent,E30000204,1.221
2011,Rent,E30000205,0.944
2011,Rent,E30000206,0.821
2011,Rent,E30000208,1.432
2011,Rent,E30000209,0.712
2011,Rent,E30000210,2.065
2011,Rent,E30000211,1.698
2011,Rent,E30000212,1.103
2011,Rent,E30000215,3.191
2011,Rent,E30000216,1.289
2011,Rent,E30000218,0.911
2011,Rent,E30000219,1.646
2011,Rent,E30000220,1.613
2011,Rent,E30000221,1.138
2011,Rent,E30000222,1.595
2011,Rent,E30000224,1.038
2011,Rent,E30000225,1.702
2011,Rent,E30000226,0.879
2011,Rent,E30000228,1.168
2011,Rent,E30000229,1.15
2011,Rent,E30000230,1.123
2011,Rent,E30000231,1.695
2011,Rent,E30000233,1.5
2011,Rent,E30000234,0.774
2011,Rent,E30000237,1.158
2011,Rent,E30000239,1.217
2011,Rent,E30000240,1.678
2011,Rent,E30000241,0.82
2011,Rent,E30000242,1.237
2011,Rent,E30000243,1.584
2011,Rent,E30000244,1.363
2011,Rent,E30000245,0.88
2011,Rent,E30000247,1.062
2011,Rent,E30000248,1.847
2011,Rent,E30000249,1.518
2011,Rent,E30000250,1.03
2011,Rent,E30000253,1.196
2011,Rent,E30000254,1.22
