function,trajectory,period,tenure,index,value,n,exemplars
Global financial capital,Growing,before,Sale,netflow,-0.5483,1,London
Global financial capital,Growing,before,Sale,leaving,0.3181,1,London
Global financial capital,Growing,before,Sale,openness,0.3767,1,London
Global financial capital,Growing,before,Sale,reach_km,123.8249,1,London
Global financial capital,Growing,before,Sale,hhi,0.0385,1,London
Global financial capital,Stable,before,Sale,netflow,,0,
Global financial capital,Stable,before,Sale,leaving,,0,
Global financial capital,Stable,before,Sale,openness,,0,
Global financial capital,Stable,before,Sale,reach_km,,0,
Global financial capital,Stable,before,Sale,hhi,,0,
Global financial capital,Declining,before,Sale,netflow,,0,
Global financial capital,Declining,before,Sale,leaving,,0,
Global financial capital,Declining,before,Sale,openness,,0,
Global financial capital,Declining,before,Sale,reach_km,,0,
Global financial capital,Declining,before,Sale,hhi,,0,
Devolved/administrative capital,Growing,before,Sale,netflow,-0.1822,1,Edinburgh
Devolved/administrative capital,Growing,before,Sale,leaving,0.405,1,Edinburgh
Devolved/administrative capital,Growing,before,Sale,openness,0.5354,1,Edinburgh
Devolved/administrative capital,Growing,before,Sale,reach_km,105.6434,1,Edinburgh
Devolved/administrative capital,Growing,before,Sale,hhi,0.1128,1,Edinburgh
Devolved/administrative capital,Stable,before,Sale,netflow,0.2113,1,Cardiff
Devolved/administrative capital,Stable,before,Sale,leaving,0.1897,1,Cardiff
Devolved/administrative capital,Stable,before,Sale,openness,0.3727,1,Cardiff
Devolved/administrative capital,Stable,before,Sale,reach_km,96.0182,1,Cardiff
Devolved/administrative capital,Stable,before,Sale,hhi,0.1069,1,Cardiff
Devolved/administrative capital,Declining,before,Sale,netflow,,0,
Devolved/administrative capital,Declining,before,Sale,leaving,,0,
Devolved/administrative capital,Declining,before,Sale,openness,,0,
Devolved/administrative capital,Declining,before,Sale,reach_km,,0,
Devolved/administrative capital,Declining,before,Sale,hhi,,0,
Regenerating core city,Growing,before,Sale,netflow,-0.0211,3,Manchester; Bristol
Regenerating core city,Growing,before,Sale,leaving,0.2452,3,Manchester; Bristol
Regenerating core city,Growing,before,Sale,openness,0.3962,3,Manchester; Bristol
Regenerating core city,Growing,before,Sale,reach_km,90.2203,3,Manchester; Bristol
Regenerating core city,Growing,before,Sale,hhi,0.0727,3,Manchester; Bristol
Regenerating core city,Stable,before,Sale,netflow,0.1055,6,Glasgow; Birmingham
Regenerating core city,Stable,before,Sale,leaving,0.2403,6,Glasgow; Birmingham
Regenerating core city,Stable,before,Sale,openness,0.4173,6,Glasgow; Birmingham
Regenerating core city,Stable,before,Sale,reach_km,81.2102,6,Glasgow; Birmingham
Regenerating core city,Stable,before,Sale,hhi,0.1357,6,Glasgow; Birmingham
Regenerating core city,Declining,before,Sale,netflow,-0.4424,2,Aberdeen; Dundee
Regenerating core city,Declining,before,Sale,leaving,0.6884,2,Aberdeen; Dundee
Regenerating core city,Declining,before,Sale,openness,0.7638,2,Aberdeen; Dundee
Regenerating core city,Declining,before,Sale,reach_km,211.4203,2,Aberdeen; Dundee
Regenerating core city,Declining,before,Sale,hhi,0.1111,2,Aberdeen; Dundee
Knowledge & professional-service hub,Growing,before,Sale,netflow,-0.043,24,Slough and Heathrow; Luton
Knowledge & professional-service hub,Growing,before,Sale,leaving,0.4908,24,Slough and Heathrow; Luton
Knowledge & professional-service hub,Growing,before,Sale,openness,0.653,24,Slough and Heathrow; Luton
Knowledge & professional-service hub,Growing,before,Sale,reach_km,106.9177,24,Slough and Heathrow; Luton
Knowledge & professional-service hub,Growing,before,Sale,hhi,0.0725,24,Slough and Heathrow; Luton
Knowledge & professional-service hub,Stable,before,Sale,netflow,-0.0056,9,Guildford and Aldershot; Southampton
Knowledge & professional-service hub,Stable,before,Sale,leaving,0.4583,9,Guildford and Aldershot; Southampton
Knowledge & professional-service hub,Stable,before,Sale,openness,0.6386,9,Guildford and Aldershot; Southampton
Knowledge & professional-service hub,Stable,before,Sale,reach_km,102.8326,9,Guildford and Aldershot; Southampton
Knowledge & professional-service hub,Stable,before,Sale,hhi,0.0671,9,Guildford and Aldershot; Southampton
Knowledge & professional-service hub,Declining,before,Sale,netflow,0.0221,4,Tunbridge Wells; York
Knowledge & professional-service hub,Declining,before,Sale,leaving,0.4901,4,Tunbridge Wells; York
Knowledge & professional-service hub,Declining,before,Sale,openness,0.6779,4,Tunbridge Wells; York
Knowledge & professional-service hub,Declining,before,Sale,reach_km,85.9317,4,Tunbridge Wells; York
Knowledge & professional-service hub,Declining,before,Sale,hhi,0.1311,4,Tunbridge Wells; York
Diversified medium-sized town,Growing,before,Sale,netflow,0.1413,6,Medway; Northampton
Diversified medium-sized town,Growing,before,Sale,leaving,0.4048,6,Medway; Northampton
Diversified medium-sized town,Growing,before,Sale,openness,0.6157,6,Medway; Northampton
Diversified medium-sized town,Growing,before,Sale,reach_km,113.7422,6,Medway; Northampton
Diversified medium-sized town,Growing,before,Sale,hhi,0.0626,6,Medway; Northampton
Diversified medium-sized town,Stable,before,Sale,netflow,0.2275,12,Southend; Warrington and Wigan
Diversified medium-sized town,Stable,before,Sale,leaving,0.3762,12,Southend; Warrington and Wigan
Diversified medium-sized town,Stable,before,Sale,openness,0.6246,12,Southend; Warrington and Wigan
Diversified medium-sized town,Stable,before,Sale,reach_km,123.5465,12,Southend; Warrington and Wigan
Diversified medium-sized town,Stable,before,Sale,hhi,0.0982,12,Southend; Warrington and Wigan
Diversified medium-sized town,Declining,before,Sale,netflow,0.1611,10,Portsmouth; Birkenhead
Diversified medium-sized town,Declining,before,Sale,leaving,0.3731,10,Portsmouth; Birkenhead
Diversified medium-sized town,Declining,before,Sale,openness,0.6064,10,Portsmouth; Birkenhead
Diversified medium-sized town,Declining,before,Sale,reach_km,108.8057,10,Portsmouth; Birkenhead
Diversified medium-sized town,Declining,before,Sale,hhi,0.1215,10,Portsmouth; Birkenhead
Manufacturing & post-industrial town,Growing,before,Sale,netflow,0.0667,13,Leicester; Coventry
Manufacturing & post-industrial town,Growing,before,Sale,leaving,0.3777,13,Leicester; Coventry
Manufacturing & post-industrial town,Growing,before,Sale,openness,0.5867,13,Leicester; Coventry
Manufacturing & post-industrial town,Growing,before,Sale,reach_km,87.4564,13,Leicester; Coventry
Manufacturing & post-industrial town,Growing,before,Sale,hhi,0.1052,13,Leicester; Coventry
Manufacturing & post-industrial town,Stable,before,Sale,netflow,0.1567,15,Wolverhampton and Walsall; Derby
Manufacturing & post-industrial town,Stable,before,Sale,leaving,0.3705,15,Wolverhampton and Walsall; Derby
Manufacturing & post-industrial town,Stable,before,Sale,openness,0.6009,15,Wolverhampton and Walsall; Derby
Manufacturing & post-industrial town,Stable,before,Sale,reach_km,96.8678,15,Wolverhampton and Walsall; Derby
Manufacturing & post-industrial town,Stable,before,Sale,hhi,0.0975,15,Wolverhampton and Walsall; Derby
Manufacturing & post-industrial town,Declining,before,Sale,netflow,0.271,15,Stoke-on-Trent; Durham and Bishop Auckland
Manufacturing & post-industrial town,Declining,before,Sale,leaving,0.3952,15,Stoke-on-Trent; Durham and Bishop Auckland
Manufacturing & post-industrial town,Declining,before,Sale,openness,0.6638,15,Stoke-on-Trent; Durham and Bishop Auckland
Manufacturing & post-industrial town,Declining,before,Sale,reach_km,105.3673,15,Stoke-on-Trent; Durham and Bishop Auckland
Manufacturing & post-industrial town,Declining,before,Sale,hhi,0.1077,15,Stoke-on-Trent; Durham and Bishop Auckland
Coastal / amenity & retirement,Growing,before,Sale,netflow,0.1451,2,Weston-super-Mare; Clacton
Coastal / amenity & retirement,Growing,before,Sale,leaving,0.486,2,Weston-super-Mare; Clacton
Coastal / amenity & retirement,Growing,before,Sale,openness,0.6927,2,Weston-super-Mare; Clacton
Coastal / amenity & retirement,Growing,before,Sale,reach_km,102.7754,2,Weston-super-Mare; Clacton
Coastal / amenity & retirement,Growing,before,Sale,hhi,0.1125,2,Weston-super-Mare; Clacton
Coastal / amenity & retirement,Stable,before,Sale,netflow,0.2143,6,Bournemouth; Eastbourne
Coastal / amenity & retirement,Stable,before,Sale,leaving,0.336,6,Bournemouth; Eastbourne
Coastal / amenity & retirement,Stable,before,Sale,openness,0.575,6,Bournemouth; Eastbourne
Coastal / amenity & retirement,Stable,before,Sale,reach_km,124.0348,6,Bournemouth; Eastbourne
Coastal / amenity & retirement,Stable,before,Sale,hhi,0.0977,6,Bournemouth; Eastbourne
Coastal / amenity & retirement,Declining,before,Sale,netflow,0.2416,4,Brighton; Hastings
Coastal / amenity & retirement,Declining,before,Sale,leaving,0.3932,4,Brighton; Hastings
Coastal / amenity & retirement,Declining,before,Sale,openness,0.6381,4,Brighton; Hastings
Coastal / amenity & retirement,Declining,before,Sale,reach_km,120.9866,4,Brighton; Hastings
Coastal / amenity & retirement,Declining,before,Sale,hhi,0.1107,4,Brighton; Hastings
Mixed / smaller towns (function unclassified),Growing,before,Sale,netflow,,0,
Mixed / smaller towns (function unclassified),Growing,before,Sale,leaving,,0,
Mixed / smaller towns (function unclassified),Growing,before,Sale,openness,,0,
Mixed / smaller towns (function unclassified),Growing,before,Sale,reach_km,,0,
Mixed / smaller towns (function unclassified),Growing,before,Sale,hhi,,0,
Mixed / smaller towns (function unclassified),Stable,before,Sale,netflow,-0.0208,1,Livingston
Mixed / smaller towns (function unclassified),Stable,before,Sale,leaving,0.4382,1,Livingston
Mixed / smaller towns (function unclassified),Stable,before,Sale,openness,0.6052,1,Livingston
Mixed / smaller towns (function unclassified),Stable,before,Sale,reach_km,70.1123,1,Livingston
Mixed / smaller towns (function unclassified),Stable,before,Sale,hhi,0.1454,1,Livingston
Mixed / smaller towns (function unclassified),Declining,before,Sale,netflow,0.164,15,Motherwell and Airdrie; Falkirk and Stirling
Mixed / smaller towns (function unclassified),Declining,before,Sale,leaving,0.3894,15,Motherwell and Airdrie; Falkirk and Stirling
Mixed / smaller towns (function unclassified),Declining,before,Sale,openness,0.6186,15,Motherwell and Airdrie; Falkirk and Stirling
