unit_cd,year,market,direction,rank,partner_cd,flow,share
E30000159,2010,Rent,to,9,E30000244,33,0.0167
E30000159,2010,Rent,to,10,E30000237,30,0.0152
E30000160,2010,Rent,from,1,E30000234,405,0.1884
E30000160,2010,Rent,from,2,E30000242,377,0.1753
E30000160,2010,Rent,from,3,E30000208,309,0.1437
E30000160,2010,Rent,from,4,E30000187,192,0.0893
E30000160,2010,Rent,from,5,E30000281,133,0.0619
E30000160,2010,Rent,from,6,E30000241,86,0.04
E30000160,2010,Rent,from,7,E30000061,71,0.033
E30000160,2010,Rent,from,8,E30000268,47,0.0219
E30000160,2010,Rent,from,9,E30000266,37,0.0172
E30000160,2010,Rent,from,10,S22000051,31,0.0144
E30000160,2010,Rent,to,1,E30000208,378,0.2204
E30000160,2010,Rent,to,2,E30000242,343,0.2
E30000160,2010,Rent,to,3,E30000234,313,0.1825
E30000160,2010,Rent,to,4,E30000241,98,0.0571
E30000160,2010,Rent,to,5,E30000187,97,0.0566
E30000160,2010,Rent,to,6,E30000281,73,0.0426
E30000160,2010,Rent,to,7,E30000204,47,0.0274
E30000160,2010,Rent,to,8,E30000266,44,0.0257
E30000160,2010,Rent,to,9,E30000061,35,0.0204
E30000160,2010,Rent,to,10,E30000212,25,0.0146
E30000162,2010,Rent,from,1,E30000167,54,0.0879
E30000162,2010,Rent,from,2,E30000206,48,0.0782
E30000162,2010,Rent,from,3,E30000234,37,0.0603
E30000162,2010,Rent,from,4,E30000293,34,0.0554
E30000162,2010,Rent,from,5,E30000169,29,0.0472
E30000162,2010,Rent,from,6,E30000256,22,0.0358
E30000162,2010,Rent,from,7,E30000180,19,0.0309
E30000162,2010,Rent,from,8,E30000253,19,0.0309
E30000162,2010,Rent,from,9,E30000267,17,0.0277
E30000162,2010,Rent,from,10,E30000276,17,0.0277
E30000162,2010,Rent,to,1,E30000167,77,0.1194
E30000162,2010,Rent,to,2,E30000206,56,0.0868
E30000162,2010,Rent,to,3,E30000293,47,0.0729
E30000162,2010,Rent,to,4,E30000241,33,0.0512
E30000162,2010,Rent,to,5,E30000253,29,0.045
E30000162,2010,Rent,to,6,E30000234,29,0.045
E30000162,2010,Rent,to,7,E30000254,28,0.0434
E30000162,2010,Rent,to,8,E30000239,25,0.0388
E30000162,2010,Rent,to,9,E30000257,21,0.0326
E30000162,2010,Rent,to,10,E30000203,18,0.0279
E30000163,2010,Rent,from,1,K01000010,182,0.1171
E30000163,2010,Rent,from,2,E30000239,157,0.101
E30000163,2010,Rent,from,3,E30000076,137,0.0882
E30000163,2010,Rent,from,4,E30000171,82,0.0528
E30000163,2010,Rent,from,5,E30000233,55,0.0354
E30000163,2010,Rent,from,6,E30000284,55,0.0354
E30000163,2010,Rent,from,7,E30000255,34,0.0219
E30000163,2010,Rent,from,8,E30000245,34,0.0219
E30000163,2010,Rent,from,9,E30000214,29,0.0187
E30000163,2010,Rent,from,10,E30000203,28,0.018
E30000163,2010,Rent,to,1,E30000076,303,0.173
E30000163,2010,Rent,to,2,E30000239,186,0.1062
E30000163,2010,Rent,to,3,K01000010,182,0.1039
E30000163,2010,Rent,to,4,E30000171,98,0.056
E30000163,2010,Rent,to,5,E30000255,83,0.0474
E30000163,2010,Rent,to,6,E30000233,58,0.0331
E30000163,2010,Rent,to,7,E30000214,49,0.028
E30000163,2010,Rent,to,8,E30000284,43,0.0246
E30000163,2010,Rent,to,9,E30000173,39,0.0223
E30000163,2010,Rent,to,10,E30000249,36,0.0206
E30000164,2010,Rent,from,1,E30000212,970,0.2461
E30000164,2010,Rent,from,2,E30000256,388,0.0985
E30000164,2010,Rent,from,3,E30000266,282,0.0716
E30000164,2010,Rent,from,4,E30000234,276,0.07
E30000164,2010,Rent,from,5,E30000267,271,0.0688
E30000164,2010,Rent,from,6,E30000159,247,0.0627
E30000164,2010,Rent,from,7,E30000244,220,0.0558
E30000164,2010,Rent,from,8,E30000254,207,0.0525
E30000164,2010,Rent,from,9,E30000175,69,0.0175
E30000164,2010,Rent,from,10,E30000239,59,0.015
E30000164,2010,Rent,to,1,E30000212,1081,0.2591
E30000164,2010,Rent,to,2,E30000234,522,0.1251
E30000164,2010,Rent,to,3,E30000256,347,0.0832
E30000164,2010,Rent,to,4,E30000266,299,0.0717
E30000164,2010,Rent,to,5,E30000244,230,0.0551
E30000164,2010,Rent,to,6,E30000267,222,0.0532
E30000164,2010,Rent,to,7,E30000159,120,0.0288
E30000164,2010,Rent,to,8,E30000254,109,0.0261
E30000164,2010,Rent,to,9,E30000180,79,0.0189
E30000164,2010,Rent,to,10,E30000046,67,0.0161
E30000165,2010,Rent,from,1,E30000280,495,0.1666
E30000165,2010,Rent,from,2,E30000180,386,0.1299
E30000165,2010,Rent,from,3,E30000293,365,0.1229
E30000165,2010,Rent,from,4,E30000234,183,0.0616
E30000165,2010,Rent,from,5,E30000285,77,0.0259
E30000165,2010,Rent,from,6,E30000169,70,0.0236
E30000165,2010,Rent,from,7,E30000257,70,0.0236
E30000165,2010,Rent,from,8,E30000046,64,0.0215
E30000165,2010,Rent,from,9,E30000276,57,0.0192
E30000165,2010,Rent,from,10,W22000024,56,0.0188
E30000165,2010,Rent,to,1,E30000180,969,0.3199
E30000165,2010,Rent,to,2,E30000280,493,0.1628
E30000165,2010,Rent,to,3,E30000234,372,0.1228
E30000165,2010,Rent,to,4,E30000293,298,0.0984
E30000165,2010,Rent,to,5,E30000276,98,0.0324
E30000165,2010,Rent,to,6,E30000285,66,0.0218
E30000165,2010,Rent,to,7,E30000175,42,0.0139
E30000165,2010,Rent,to,8,E30000169,41,0.0135
E30000165,2010,Rent,to,9,E30000257,36,0.0119
E30000165,2010,Rent,to,10,W22000024,32,0.0106
E30000166,2010,Rent,from,1,E30000237,607,0.2605
E30000166,2010,Rent,from,2,E30000243,314,0.1348
E30000166,2010,Rent,from,3,E30000234,190,0.0815
E30000166,2010,Rent,from,4,E30000224,157,0.0674
E30000166,2010,Rent,from,5,E30000221,104,0.0446
E30000166,2010,Rent,from,6,E30000195,76,0.0326
E30000166,2010,Rent,from,7,E30000266,68,0.0292
E30000166,2010,Rent,from,8,E30000247,66,0.0283
E30000166,2010,Rent,from,9,E30000249,65,0.0279
E30000166,2010,Rent,from,10,E30000272,62,0.0266
E30000166,2010,Rent,to,1,E30000237,569,0.1741
E30000166,2010,Rent,to,2,E30000234,462,0.1414
E30000166,2010,Rent,to,3,E30000243,404,0.1236
E30000166,2010,Rent,to,4,E30000224,270,0.0826
E30000166,2010,Rent,to,5,E30000247,158,0.0483
E30000166,2010,Rent,to,6,E30000221,151,0.0462
E30000166,2010,Rent,to,7,E30000186,73,0.0223
E30000166,2010,Rent,to,8,E30000230,69,0.0211
E30000166,2010,Rent,to,9,E30000266,68,0.0208
E30000166,2010,Rent,to,10,E30000272,64,0.0196
E30000167,2010,Rent,from,1,E30000234,91,0.1061
E30000167,2010,Rent,from,2,E30000162,77,0.0897
E30000167,2010,Rent,from,3,E30000257,71,0.0828
E30000167,2010,Rent,from,4,E30000256,48,0.0559
E30000167,2010,Rent,from,5,E30000253,44,0.0513
E30000167,2010,Rent,from,6,E30000169,31,0.0361
E30000167,2010,Rent,from,7,E30000206,30,0.035
E30000167,2010,Rent,from,8,E30000239,29,0.0338
E30000167,2010,Rent,from,9,E30000293,20,0.0233
E30000167,2010,Rent,from,10,E30000180,19,0.0221
E30000167,2010,Rent,to,1,E30000234,76,0.1308
E30000167,2010,Rent,to,2,E30000162,54,0.0929
E30000167,2010,Rent,to,3,E30000257,54,0.0929
E30000167,2010,Rent,to,4,E30000276,49,0.0843
E30000167,2010,Rent,to,5,E30000293,42,0.0723
E30000167,2010,Rent,to,6,E30000206,36,0.062
E30000167,2010,Rent,to,7,E30000253,29,0.0499
E30000167,2010,Rent,to,8,E30000196,21,0.0361
E30000167,2010,Rent,to,9,E30000268,16,0.0275
E30000167,2010,Rent,to,10,E30000256,12,0.0207
E30000168,2010,Rent,from,1,E30000233,609,0.3352
E30000168,2010,Rent,from,2,K01000011,500,0.2752
E30000168,2010,Rent,from,3,E30000284,122,0.0671
E30000168,2010,Rent,from,4,E30000239,81,0.0446
E30000168,2010,Rent,from,5,E30000234,34,0.0187
E30000168,2010,Rent,from,6,E30000288,19,0.0105
E30000168,2010,Rent,from,7,E30000266,19,0.0105
E30000168,2010,Rent,from,8,E30000220,17,0.0094
E30000168,2010,Rent,from,9,W22000026,16,0.0088
E30000168,2010,Rent,from,10,W22000022,16,0.0088
E30000168,2010,Rent,to,1,E30000233,826,0.2505
E30000168,2010,Rent,to,2,K01000011,745,0.226
E30000168,2010,Rent,to,3,E30000239,244,0.074
E30000168,2010,Rent,to,4,E30000234,158,0.0479
E30000168,2010,Rent,to,5,E30000284,109,0.0331
E30000168,2010,Rent,to,6,W22000034,76,0.0231
E30000168,2010,Rent,to,7,W22000031,73,0.0221
E30000168,2010,Rent,to,8,E30000262,71,0.0215
E30000168,2010,Rent,to,9,E30000214,61,0.0185
