unit_cd,unit_nm,year,market,index,value
E30000179,Brighton,2011,Rent,enq,17317.0
E30000180,Bristol,2011,Rent,enq,28319.0
E30000182,Burnley,2011,Rent,enq,5341.0
E30000183,Burton upon Trent,2011,Rent,enq,6614.0
E30000184,Bury St Edmunds,2011,Rent,enq,7819.0
E30000186,Cambridge,2011,Rent,enq,25439.0
E30000187,Canterbury,2011,Rent,enq,6820.0
E30000188,Chelmsford,2011,Rent,enq,16346.0
E30000189,Cheltenham,2011,Rent,enq,3880.0
E30000190,Chesterfield,2011,Rent,enq,4282.0
E30000191,Chichester and Bognor Regis,2011,Rent,enq,8049.0
E30000192,Clacton,2011,Rent,enq,6495.0
E30000193,Colchester,2011,Rent,enq,9834.0
E30000195,Coventry,2011,Rent,enq,22672.0
E30000196,Crawley,2011,Rent,enq,19035.0
E30000197,Crewe,2011,Rent,enq,11167.0
E30000198,Cromer and Sheringham,2011,Rent,enq,3672.0
E30000199,Darlington,2011,Rent,enq,4468.0
E30000200,Derby,2011,Rent,enq,14840.0
E30000201,Doncaster,2011,Rent,enq,7914.0
E30000202,Dudley,2011,Rent,enq,16979.0
E30000203,Durham and Bishop Auckland,2011,Rent,enq,13702.0
E30000204,Eastbourne,2011,Rent,enq,11713.0
E30000205,Evesham,2011,Rent,enq,2534.0
E30000206,Exeter,2011,Rent,enq,7905.0
E30000208,Folkestone and Dover,2011,Rent,enq,3481.0
E30000209,Gloucester,2011,Rent,enq,6578.0
E30000210,Great Yarmouth,2011,Rent,enq,3278.0
E30000211,Grimsby,2011,Rent,enq,3060.0
E30000212,Guildford and Aldershot,2011,Rent,enq,20878.0
E30000214,Harrogate,2011,Rent,enq,12894.0
E30000215,Hartlepool,2011,Rent,enq,2895.0
E30000216,Hereford,2011,Rent,enq,2375.0
E30000218,High Wycombe and Aylesbury,2011,Rent,enq,13471.0
E30000219,Huddersfield,2011,Rent,enq,13128.0
E30000220,Hull,2011,Rent,enq,16311.0
E30000221,Huntingdon,2011,Rent,enq,5408.0
E30000222,Ipswich,2011,Rent,enq,21479.0
E30000224,Kettering and Wellingborough,2011,Rent,enq,11532.0
E30000225,King's Lynn,2011,Rent,enq,6205.0
E30000226,Kingsbridge and Dartmouth,2011,Rent,enq,1145.0
E30000228,Leamington Spa,2011,Rent,enq,10139.0
E30000229,Leeds,2011,Rent,enq,29838.0
E30000230,Leicester,2011,Rent,enq,30113.0
E30000231,Lincoln,2011,Rent,enq,15589.0
E30000233,Liverpool,2011,Rent,enq,36434.0
E30000234,London,2011,Rent,enq,403617.0
E30000237,Luton,2011,Rent,enq,28162.0
E30000239,Manchester,2011,Rent,enq,100839.0
E30000240,Mansfield,2011,Rent,enq,8885.0
E30000241,Margate and Ramsgate,2011,Rent,enq,7865.0
E30000242,Medway,2011,Rent,enq,23539.0
E30000243,Milton Keynes,2011,Rent,enq,16306.0
E30000244,Newbury,2011,Rent,enq,6123.0
E30000245,Newcastle,2011,Rent,enq,24932.0
E30000247,Northampton,2011,Rent,enq,15479.0
E30000248,Norwich,2011,Rent,enq,18453.0
E30000249,Nottingham,2011,Rent,enq,34930.0
E30000250,Oxford,2011,Rent,enq,24187.0
E30000252,Penzance,2011,Rent,enq,10.0
E30000253,Plymouth,2011,Rent,enq,8294.0
E30000254,Portsmouth,2011,Rent,enq,26972.0
E30000255,Preston,2011,Rent,enq,13805.0
E30000256,Reading,2011,Rent,enq,17078.0
E30000257,Redruth and Truro,2011,Rent,enq,12866.0
E30000260,Scunthorpe,2011,Rent,enq,2829.0
E30000261,Sheffield,2011,Rent,enq,25446.0
E30000262,Shrewsbury,2011,Rent,enq,7262.0
E30000264,Skegness and Louth,2011,Rent,enq,4298.0
E30000266,Slough and Heathrow,2011,Rent,enq,64916.0
E30000267,Southampton,2011,Rent,enq,26584.0
E30000268,Southend,2011,Rent,enq,26240.0
E30000271,Stafford,2011,Rent,enq,4385.0
E30000272,Stevenage and Welwyn Garden City,2011,Rent,enq,10897.0
E30000273,Stoke-on-Trent,2011,Rent,enq,10887.0
E30000275,Sunderland,2011,Rent,enq,11224.0
E30000276,Swindon,2011,Rent,enq,12212.0
E30000278,Telford,2011,Rent,enq,5446.0
E30000279,Torquay and Paignton,2011,Rent,enq,2874.0
E30000280,Trowbridge,2011,Rent,enq,15550.0
E30000281,Tunbridge Wells,2011,Rent,enq,5299.0
E30000283,Wakefield and Castleford,2011,Rent,enq,9297.0
E30000284,Warrington and Wigan,2011,Rent,enq,28537.0
E30000285,Weston-super-Mare,2011,Rent,enq,4950.0
E30000287,Wisbech,2011,Rent,enq,4530.0
E30000288,Wolverhampton and Walsall,2011,Rent,enq,21411.0
E30000289,Worcester and Kidderminster,2011,Rent,enq,8002.0
E30000291,Worksop and Retford,2011,Rent,enq,2880.0
E30000292,Worthing,2011,Rent,enq,5270.0
E30000293,Yeovil,2011,Rent,enq,14474.0
E30000294,York,2011,Rent,enq,7664.0
K01000005,Cinderford and Ross-on-Wye,2011,Rent,enq,1486.0
K01000010,Carlisle,2011,Rent,enq,4060.0
K01000011,Chester,2011,Rent,enq,19529.0
K01000013,Newport,2011,Rent,enq,9193.0
S22000013,Western Isles,2011,Rent,enq,129.0
S22000035,Orkney Islands,2011,Rent,enq,88.0
S22000039,Shetland Islands,2011,Rent,enq,47.0
S22000047,Aberdeen,2011,Rent,enq,3520.0
S22000051,Ayr,2011,Rent,enq,3039.0
S22000054,Dumbarton and Helensburgh,2011,Rent,enq,2960.0
S22000055,Dumfries,2011,Rent,enq,1148.0
S22000056,Dundee,2011,Rent,enq,2966.0
S22000057,Dunfermline and Kirkcaldy,2011,Rent,enq,5730.0
S22000059,Edinburgh,2011,Rent,enq,11126.0
S22000060,Elgin,2011,Rent,enq,491.0
S22000061,Falkirk and Stirling,2011,Rent,enq,6177.0
S22000063,Galashiels and Peebles,2011,Rent,enq,1227.0
S22000065,Glasgow,2011,Rent,enq,25917.0
S22000068,Inverness,2011,Rent,enq,1265.0
S22000069,Kilmarnock and Irvine,2011,Rent,enq,9233.0
S22000070,Livingston,2011,Rent,enq,3011.0
S22000071,Motherwell and Airdrie,2011,Rent,enq,13841.0
S22000074,Perth,2011,Rent,enq,1215.0
S22000085,Greenock,2011,Rent,enq,1994.0
W22000003,Bridgend,2011,Rent,enq,2391.0
W22000009,Haverfordwest and Milford Haven,2011,Rent,enq,1129.0
W22000015,Newtown and Welshpool,2011,Rent,enq,1409.0
W22000021,Aberystwyth,2011,Rent,enq,653.0
W22000022,Bangor and Holyhead,2011,Rent,enq,2667.0
W22000024,Cardiff,2011,Rent,enq,26151.0
W22000026,Colwyn Bay,2011,Rent,enq,3968.0
W22000028,Llanelli,2011,Rent,enq,1551.0
W22000029,Merthyr Tydfil,2011,Rent,enq,2582.0
W22000031,Rhyl,2011,Rent,enq,3260.0
W22000032,Swansea,2011,Rent,enq,4423.0
W22000034,Wrexham,2011,Rent,enq,4107.0
E30000004,Barnsley,2012,Rent,enq,8933.0
E30000018,Bradford,2012,Rent,enq,15442.0
E30000029,Halifax,2012,Rent,enq,7390.0
E30000046,Dorchester and Weymouth,2012,Rent,enq,10528.0
